,Product,Stage,SecSite,Region,Presentation,Year,Site,%Protected,TotalRev,RevProtected,RevUnprotected,Target,Actual
187,Ingredient_D,Pre-production,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2020,ADL PM2,1.0,15000,15000,0,4,4.0
829,Ingredient_N,In Progress,JAPAC,JAPAC,Syringe,2021,AML1,0.25,15000,3750,11250,4,2.5
1298,Ingredient_T,In Progress,ICON - LACAN,ICON - LACAN,Vial,2020,AML1,0.25,15000,3750,11250,4,2.5
683,Ingredient_M,Pre-production,JAPAC,JAPAC,Syringe,2020,AML14,0.8,15000,12000,3000,4,2.5
788,Ingredient_N,Pre-production,US,US,Vial,2020,AML14,0.8,15000,12000,3000,4,2.5
536,Ingredient_K,Pre-production,US,US,50cc,2022,ADL,1.0,15000,15000,0,4,4.0
1116,Ingredient_R,Pre-production,JAPAC,JAPAC,Syringe,2019,AML14,0.8,15000,12000,3000,4,2.5
1267,Ingredient_T,Pre-production,ICON - LACAN,ICON - LACAN,Vial,2019,AML14,0.8,15000,12000,3000,4,2.5
55,Ingredient_B,Pre-production,US,US,Auto Injector,2023,AML14,0.8,15000,12000,3000,4,4.0
660,Ingredient_M,Pre-production,EU,EU,OnPro,2022,AML14,0.8,15000,12000,3000,4,2.5
963,Ingredient_P,In Progress,US,US,Vial,2020,AML1,0.25,15000,3750,11250,4,2.5
233,Ingredient_E,Pre-production,US,US,Bottle,2021,AML23,0.25,15000,3750,11250,4,4.0
875,Ingredient_O,Pre-production,US,US,"Lyo Vial or Lyo Vial Kit, 250ug and 500ug",2022,ADL PM2,1.0,15000,15000,0,4,2.5
30,Ingredient_B,Pre-production,ICON - LACAN,ICON - LACAN,Auto Injector,2020,AML14,0.8,15000,12000,3000,4,4.0
1,Ingredient_A,Pre-production,JAPAC,JAPAC,Auto Injector,2023,AML14,0.8,15000,12000,3000,4,4.0
935,Ingredient_P,Pre-production,US,US,Vial,2022,AML14,0.8,15000,12000,3000,4,2.5
90,Ingredient_B,In Progress,ICON - TMEA,ICON - TMEA,Syringe,2023,ABR,0.65,15000,9750,5250,4,4.0
773,Ingredient_N,Pre-production,JAPAC,JAPAC,Syringe,2020,AML14,0.8,15000,12000,3000,4,2.5
480,Ingredient_K,Pre-production,EU,EU,30cc,2021,ADL,1.0,15000,15000,0,4,4.0
1292,Ingredient_T,In Progress,EU,EU,Vial,2019,ABR,0.65,15000,9750,5250,4,2.5
757,Ingredient_N,Pre-production,ICON - LACAN,ICON - LACAN,Vial,2019,AML14,0.8,15000,12000,3000,4,2.5
648,Ingredient_L,In Progress,JAPAC,JAPAC,Vial,2020,AML1,0.25,15000,3750,11250,4,4.0
873,Ingredient_O,Pre-production,US,US,"Lyo Vial or Lyo Vial Kit, 250ug and 500ug",2020,ADL PM2,1.0,15000,15000,0,4,2.5
1173,Ingredient_R,In Progress,JAPAC,JAPAC,Auto Injector,2021,Bushu,0.35,15000,5250,9750,4,2.5
65,Ingredient_B,In Progress,EU,EU,Auto Injector,2021,ABR,0.65,15000,9750,5250,4,4.0
1210,Ingredient_S,Pre-production,ICON - LACAN,ICON - LACAN,Bottle,2022,"Patheon, CA",0.6,15000,9000,6000,4,2.5
749,Ingredient_N,Pre-production,EU,EU,Vial,2021,AML14,0.8,15000,12000,3000,4,2.5
426,Ingredient_J,Pre-production,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2023,"Actavis, IT",0.98,15000,14700,300,4,4.0
1222,Ingredient_S,Pre-production,US,US,Bottle,2019,AML23,0.25,15000,3750,11250,4,2.5
805,Ingredient_N,In Progress,EU,EU,Vial,2022,ABR,0.65,15000,9750,5250,4,2.5
729,Ingredient_M,In Progress,JAPAC,JAPAC,Syringe,2021,AML1,0.25,15000,3750,11250,4,2.5
1183,Ingredient_R,In Progress,US,US,Auto Injector,2020,AML1,0.25,15000,3750,11250,4,2.5
1107,Ingredient_R,Pre-production,JAPAC,JAPAC,Auto Injector,2020,AML14,0.8,15000,12000,3000,4,2.5
325,Ingredient_F,In Progress,US,US,Reusable Auto Injector,2023,AML1,0.25,15000,3750,11250,4,4.0
1079,Ingredient_R,Pre-production,EU,EU,Pushtronex,2021,"Patheon, IT",0.6,15000,9000,6000,4,2.5
177,Ingredient_D,Pre-production,EU,EU,Lyo Vial Kit,2020,ADL PM2,1.0,15000,15000,0,4,4.0
514,Ingredient_K,Pre-production,JAPAC,JAPAC,30cc,2020,"Patheon, NC",0.6,15000,9000,6000,4,4.0
519,Ingredient_K,Pre-production,JAPAC,JAPAC,50cc,2020,"Patheon, NC",0.6,15000,9000,6000,4,4.0
842,Ingredient_N,In Progress,US,US,Vial,2019,AML1,0.25,15000,3750,11250,4,2.5
1197,Ingredient_S,Pre-production,EU,EU,Blister,2019,AML23,0.25,15000,3750,11250,4,2.5
905,Ingredient_O,In Progress,JAPAC,JAPAC,Lyo Vial Kit,2022,ABR,0.65,15000,9750,5250,4,2.5
1126,Ingredient_R,Pre-production,US,US,Pushtronex,2023,"Patheon, IT",0.6,15000,9000,6000,4,2.5
1194,Ingredient_R,In Progress,US,US,Syringe,2021,AML1,0.25,15000,3750,11250,4,2.5
315,Ingredient_F,In Progress,US,US,Auto Injector,2023,AML1,0.25,15000,3750,11250,4,4.0
691,Ingredient_M,Pre-production,US,US,OnPro,2023,AML14,0.8,15000,12000,3000,4,2.5
781,Ingredient_N,Pre-production,JAPAC,JAPAC,Vial,2023,AML14,0.8,15000,12000,3000,4,2.5
1135,Ingredient_R,Post-production,Global,Global,Global Post-production,2022,AML6,0.25,15000,3750,11250,4,2.5
187,Ingredient_D,Pre-production,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2020,ADL PM2,1.0,15000,15000,0,4,4.0
795,Ingredient_N,Post-production,Global,Global,Global Post-production,2022,AML7,0.25,15000,3750,11250,4,2.5
486,Ingredient_K,Pre-production,EU,EU,50cc,2022,ADL,1.0,15000,15000,0,4,4.0
501,Ingredient_K,Pre-production,ICON - LACAN,ICON - LACAN,50cc,2022,"Patheon, NC",0.6,15000,9000,6000,4,4.0
594,Ingredient_K,In Progress,US,US,10cc,2020,AML1,0.25,15000,3750,11250,4,4.0
1175,Ingredient_R,In Progress,JAPAC,JAPAC,Auto Injector,2023,Bushu,0.35,15000,5250,9750,4,2.5
838,Ingredient_N,In Progress,US,US,Syringe,2020,AML1,0.25,15000,3750,11250,4,2.5
216,Ingredient_D,In Progress,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2019,AML1,0.25,15000,3750,11250,4,4.0
1291,Ingredient_T,Post-production,Global,Global,Global Post-production,2023,ARI5,1.0,15000,15000,0,4,2.5
747,Ingredient_N,Pre-production,EU,EU,Vial,2019,AML14,0.8,15000,12000,3000,4,2.5
518,Ingredient_K,Pre-production,JAPAC,JAPAC,50cc,2019,"Patheon, NC",0.6,15000,9000,6000,4,4.0
684,Ingredient_M,Pre-production,JAPAC,JAPAC,Syringe,2021,AML14,0.8,15000,12000,3000,4,2.5
150,Ingredient_C,In Progress,EU,EU,Syringe,2023,ABR,0.65,15000,9750,5250,4,4.0
486,Ingredient_K,Pre-production,EU,EU,50cc,2022,ADL,1.0,15000,15000,0,4,4.0
324,Ingredient_F,In Progress,US,US,Reusable Auto Injector,2022,AML1,0.25,15000,3750,11250,4,4.0
843,Ingredient_N,In Progress,US,US,Vial,2020,AML1,0.25,15000,3750,11250,4,2.5
833,Ingredient_N,In Progress,JAPAC,JAPAC,Vial,2020,AML1,0.25,15000,3750,11250,4,2.5
606,Ingredient_K,In Progress,US,US,50cc,2022,AML1,0.25,15000,3750,11250,4,4.0
14,Ingredient_A,In Progress,US,US,Auto Injector,2019,AML1,0.25,15000,3750,11250,4,4.0
500,Ingredient_K,Pre-production,ICON - LACAN,ICON - LACAN,50cc,2021,"Patheon, NC",0.6,15000,9000,6000,4,4.0
676,Ingredient_M,Pre-production,ICON - LACAN,ICON - LACAN,Syringe,2023,AML14,0.8,15000,12000,3000,4,2.5
675,Ingredient_M,Pre-production,ICON - LACAN,ICON - LACAN,Syringe,2022,AML14,0.8,15000,12000,3000,4,2.5
120,Ingredient_C,Pre-production,ICON - TMEA,ICON - TMEA,Syringe,2023,AML14,0.8,15000,12000,3000,4,4.0
691,Ingredient_M,Pre-production,US,US,OnPro,2023,AML14,0.8,15000,12000,3000,4,2.5
559,Ingredient_K,In Progress,ICON - LACAN,ICON - LACAN,10cc,2020,AML1,0.25,15000,3750,11250,4,4.0
987,Ingredient_Q,Pre-production,ICON - TMEA,ICON - TMEA,Syringe,2019,AML14,0.8,15000,12000,3000,4,2.5
323,Ingredient_F,In Progress,US,US,Reusable Auto Injector,2021,AML1,0.25,15000,3750,11250,4,4.0
943,Ingredient_P,In Progress,EU,EU,Vial,2020,ABR,0.65,15000,9750,5250,4,2.5
564,Ingredient_K,In Progress,ICON - LACAN,ICON - LACAN,30cc,2020,AML1,0.25,15000,3750,11250,4,4.0
1169,Ingredient_R,In Progress,ICON - TMEA,ICON - TMEA,Syringe,2022,ABR,0.65,15000,9750,5250,4,2.5
238,Ingredient_E,Pre-production,US,US,Solution/Ampule,2021,"Catalent, IL",0.98,15000,14700,300,4,4.0
1143,Ingredient_R,In Progress,EU,EU,Pushtronex,2020,"PCI, US",0.3,15000,4500,10500,4,2.5
1013,Ingredient_Q,Pre-production,US,US,Vial,2020,AML14,0.8,15000,12000,3000,4,2.5
1014,Ingredient_Q,Pre-production,US,US,Vial,2021,AML14,0.8,15000,12000,3000,4,2.5
988,Ingredient_Q,Pre-production,ICON - TMEA,ICON - TMEA,Syringe,2020,AML14,0.8,15000,12000,3000,4,2.5
218,Ingredient_D,In Progress,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2021,AML1,0.25,15000,3750,11250,4,4.0
1038,Ingredient_Q,In Progress,ICON - LACAN,ICON - LACAN,Vial,2020,AML1,0.25,15000,3750,11250,4,2.5
1154,Ingredient_R,In Progress,ICON - LACAN,ICON - LACAN,Auto Injector,2021,AML1,0.25,15000,3750,11250,4,2.5
47,Ingredient_B,Pre-production,JAPAC,JAPAC,Auto Injector,2020,AML14,0.8,15000,12000,3000,4,4.0
1043,Ingredient_Q,In Progress,ICON - TMEA,ICON - TMEA,Syringe,2020,ABR,0.65,15000,9750,5250,4,2.5
656,Ingredient_L,In Progress,US,US,Vial,2023,AML1,0.25,15000,3750,11250,4,4.0
1104,Ingredient_R,Pre-production,ICON - TMEA,ICON - TMEA,Syringe,2022,AML14,0.8,15000,12000,3000,4,2.5
1046,Ingredient_Q,In Progress,ICON - TMEA,ICON - TMEA,Syringe,2023,ABR,0.65,15000,9750,5250,4,2.5
847,Ingredient_O,Pre-production,EU,EU,"Lyo Vial or Lyo Vial Kit, 250ug and 500ug",2019,ADL PM2,1.0,15000,15000,0,4,2.5
886,Ingredient_O,Post-production,Global,Global,Global Post-production,2023,AML7,0.25,15000,3750,11250,4,2.5
628,Ingredient_L,Pre-production,US,US,Vial,2022,AML14,0.8,15000,12000,3000,4,4.0
1214,Ingredient_S,Pre-production,ICON - TMEA,ICON - TMEA,Blister,2021,AML23,0.25,15000,3750,11250,4,2.5
1017,Ingredient_Q,Post-production,Global,Global,Global Post-production,2019,ASM1,0.4,15000,6000,9000,4,2.5
648,Ingredient_L,In Progress,JAPAC,JAPAC,Vial,2020,AML1,0.25,15000,3750,11250,4,4.0
118,Ingredient_C,Pre-production,ICON - TMEA,ICON - TMEA,Syringe,2021,AML14,0.8,15000,12000,3000,4,4.0
1020,Ingredient_Q,Post-production,Global,Global,Global Post-production,2022,ASM1,0.4,15000,6000,9000,4,2.5
1020,Ingredient_Q,Post-production,Global,Global,Global Post-production,2022,ASM1,0.4,15000,6000,9000,4,2.5
174,Ingredient_C,In Progress,US,US,Vial,2022,AML1,0.25,15000,3750,11250,4,4.0
79,Ingredient_B,In Progress,ICON - LACAN,ICON - LACAN,Syringe,2022,AML1,0.25,15000,3750,11250,4,4.0
351,Ingredient_H,Pre-production,ICON - LACAN,ICON - LACAN,Syringe,2023,AML14,0.8,15000,12000,3000,4,4.0
1167,Ingredient_R,In Progress,ICON - TMEA,ICON - TMEA,Syringe,2020,ABR,0.65,15000,9750,5250,4,2.5
555,Ingredient_K,In Progress,EU,EU,50cc,2021,ABR,0.65,15000,9750,5250,4,4.0
321,Ingredient_F,In Progress,US,US,Reusable Auto Injector,2019,AML1,0.25,15000,3750,11250,4,4.0
1181,Ingredient_R,In Progress,JAPAC,JAPAC,Syringe,2019,AML1,0.25,15000,3750,11250,4,2.5
1200,Ingredient_S,Pre-production,EU,EU,Blister,2022,AML23,0.25,15000,3750,11250,4,2.5
62,Ingredient_B,Post-production,Global,Global,Global Post-production,2023,ARI5,1.0,15000,15000,0,4,4.0
662,Ingredient_M,Pre-production,EU,EU,Syringe,2019,AML14,0.8,15000,12000,3000,4,2.5
490,Ingredient_K,Pre-production,ICON - LACAN,ICON - LACAN,10cc,2021,"Patheon, NC",0.6,15000,9000,6000,4,4.0
1035,Ingredient_Q,In Progress,ICON - LACAN,ICON - LACAN,Syringe,2022,AML1,0.25,15000,3750,11250,4,2.5
1316,Ingredient_T,In Progress,US,US,Vial,2023,AML1,0.25,15000,3750,11250,4,2.5
11,Ingredient_A,Post-production,Global,Global,Global Post-production,2023,ASM1,0.4,15000,6000,9000,4,4.0
536,Ingredient_K,Pre-production,US,US,50cc,2022,ADL,1.0,15000,15000,0,4,4.0
1266,Ingredient_T,Pre-production,EU,EU,Vial,2023,AML14,0.8,15000,12000,3000,4,2.5
1133,Ingredient_R,Post-production,Global,Global,Global Post-production,2020,ARI5,1.0,15000,15000,0,4,2.5
237,Ingredient_E,Pre-production,US,US,Solution/Ampule,2020,"Catalent, IL",0.98,15000,14700,300,4,4.0
667,Ingredient_M,Pre-production,ICON - LACAN,ICON - LACAN,OnPro,2019,AML14,0.8,15000,12000,3000,4,2.5
837,Ingredient_N,In Progress,US,US,Syringe,2019,AML1,0.25,15000,3750,11250,4,2.5
1273,Ingredient_T,Pre-production,ICON - TMEA,ICON - TMEA,Vial,2020,AML14,0.8,15000,12000,3000,4,2.5
1303,Ingredient_T,In Progress,ICON - TMEA,ICON - TMEA,Vial,2020,ABR,0.65,15000,9750,5250,4,2.5
409,Ingredient_I,In Progress,EU,EU,Vial,2020,LDC,0.35,15000,5250,9750,4,4.0
56,Ingredient_B,Pre-production,US,US,Syringe,2023,AML14,0.8,15000,12000,3000,4,4.0
1054,Ingredient_Q,In Progress,JAPAC,JAPAC,Syringe,2021,AML1,0.25,15000,3750,11250,4,2.5
856,Ingredient_O,Pre-production,EU,EU,Lyo Vial or Lyo Vial Kit; 125ug SKU,2023,"Patheon, IT",0.6,15000,9000,6000,4,2.5
674,Ingredient_M,Pre-production,ICON - LACAN,ICON - LACAN,Syringe,2021,AML14,0.8,15000,12000,3000,4,2.5
532,Ingredient_K,Pre-production,US,US,30cc,2023,ADL,1.0,15000,15000,0,4,4.0
1139,Ingredient_R,In Progress,EU,EU,Auto Injector,2021,ABR,0.65,15000,9750,5250,4,2.5
1039,Ingredient_Q,In Progress,ICON - LACAN,ICON - LACAN,Vial,2021,AML1,0.25,15000,3750,11250,4,2.5
1306,Ingredient_T,In Progress,ICON - TMEA,ICON - TMEA,Vial,2023,ABR,0.65,15000,9750,5250,4,2.5
853,Ingredient_O,Pre-production,EU,EU,Lyo Vial or Lyo Vial Kit; 125ug SKU,2020,"Patheon, IT",0.6,15000,9000,6000,4,2.5
189,Ingredient_D,Pre-production,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2022,ADL PM2,1.0,15000,15000,0,4,4.0
25,Ingredient_B,Pre-production,EU,EU,Syringe,2020,AML14,0.8,15000,12000,3000,4,4.0
9,Ingredient_A,Post-production,Global,Global,Global Post-production,2021,ASM1,0.4,15000,6000,9000,4,4.0
25,Ingredient_B,Pre-production,EU,EU,Syringe,2020,AML14,0.8,15000,12000,3000,4,4.0
423,Ingredient_J,Pre-production,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2020,"Actavis, IT",0.98,15000,14700,300,4,4.0
765,Ingredient_N,Pre-production,ICON - TMEA,ICON - TMEA,Syringe,2022,AML14,0.8,15000,12000,3000,4,2.5
414,Ingredient_I,In Progress,US,US,Vial,2020,LDC,0.35,15000,5250,9750,4,4.0
878,Ingredient_O,Pre-production,US,US,Lyo Vial or Lyo Vial Kit; 125ug SKU,2020,"Patheon, IT",0.6,15000,9000,6000,4,2.5
1295,Ingredient_T,In Progress,EU,EU,Vial,2022,ABR,0.65,15000,9750,5250,4,2.5
