,Unnamed: 0,Product,Stage,SecSite,Region,Presentation,Year,Site,%Protected,TotalRev,RevProtected,RevUnprotected,Target,Actual
189,189,ProductD,DP,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2022,ADL PM2,1.0,15000,15000,0,4,4.0
521,521,ProductK,DP,JAPAC,JAPAC,50cc,2022,"Patheon, NC",0.6,15000,9000,6000,4,4.0
516,516,ProductK,DP,JAPAC,JAPAC,30cc,2022,"Patheon, NC",0.6,15000,9000,6000,4,4.0
1209,1209,ProductS,DP,ICON - LACAN,ICON - LACAN,Bottle,2021,"Patheon, CA",0.6,15000,9000,6000,4,2.5
269,269,ProductF,DP,ICON - LACAN,ICON - LACAN,Syringe,2022,AML14,0.8,15000,12000,3000,4,4.0
488,488,ProductK,DP,ICON - LACAN,ICON - LACAN,10cc,2019,"Patheon, NC",0.6,15000,9000,6000,4,4.0
182,182,ProductD,DP,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2020,ADL PM2,1.0,15000,15000,0,4,4.0
1306,1306,ProductT,FDP,ICON - TMEA,ICON - TMEA,Vial,2023,ABR,0.65,15000,9750,5250,4,2.5
1010,1010,ProductQ,DP,US,US,Syringe,2022,AML14,0.8,15000,12000,3000,4,2.5
1150,1150,ProductR,FDP,EU,EU,Syringe,2022,ABR,0.65,15000,9750,5250,4,2.5
886,886,ProductO,DS,Global,Global,Global DS,2023,AML7,0.25,15000,3750,11250,4,2.5
636,636,ProductL,FDP,EU,EU,Vial,2021,ABR,0.65,15000,9750,5250,4,4.0
676,676,ProductM,DP,ICON - LACAN,ICON - LACAN,Syringe,2023,AML14,0.8,15000,12000,3000,4,2.5
1135,1135,ProductR,DS,Global,Global,Global DS,2022,AML6,0.25,15000,3750,11250,4,2.5
224,224,ProductD,FDP,JAPAC,JAPAC,Lyo Vial Kit,2022,Bushu,0.35,15000,5250,9750,4,4.0
312,312,ProductF,FDP,US,US,Auto Injector,2020,AML1,0.25,15000,3750,11250,4,4.0
721,721,ProductM,FDP,ICON - LACAN,ICON - LACAN,Syringe,2023,AML1,0.25,15000,3750,11250,4,2.5
865,865,ProductO,DP,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2022,ADL PM2,1.0,15000,15000,0,4,2.5
676,676,ProductM,DP,ICON - LACAN,ICON - LACAN,Syringe,2023,AML14,0.8,15000,12000,3000,4,2.5
541,541,ProductK,DS,Global,Global,Global DS,2022,ASM2,0.4,15000,6000,9000,4,4.0
17,17,ProductA,FDP,US,US,Auto Injector,2022,AML1,0.25,15000,3750,11250,4,4.0
723,723,ProductM,FDP,ICON - TMEA,ICON - TMEA,Syringe,2020,ABR,0.65,15000,9750,5250,4,2.5
930,930,ProductP,DP,JAPAC,JAPAC,Vial,2022,AML14,0.8,15000,12000,3000,4,2.5
595,595,ProductK,FDP,US,US,10cc,2021,AML1,0.25,15000,3750,11250,4,4.0
596,596,ProductK,FDP,US,US,10cc,2022,AML1,0.25,15000,3750,11250,4,4.0
845,845,ProductN,FDP,US,US,Vial,2022,AML1,0.25,15000,3750,11250,4,2.5
498,498,ProductK,DP,ICON - LACAN,ICON - LACAN,50cc,2019,"Patheon, NC",0.6,15000,9000,6000,4,4.0
329,329,ProductF,FDP,US,US,Syringe,2022,AML1,0.25,15000,3750,11250,4,4.0
1198,1198,ProductS,DP,EU,EU,Blister,2020,AML23,0.25,15000,3750,11250,4,2.5
1295,1295,ProductT,FDP,EU,EU,Vial,2022,ABR,0.65,15000,9750,5250,4,2.5
291,291,ProductF,DS,Global,Global,Global DS,2019,ARI5,1.0,15000,15000,0,4,4.0
950,950,ProductP,FDP,ICON - LACAN,ICON - LACAN,Vial,2022,AML1,0.25,15000,3750,11250,4,2.5
1155,1155,ProductR,FDP,ICON - LACAN,ICON - LACAN,Auto Injector,2022,AML1,0.25,15000,3750,11250,4,2.5
1084,1084,ProductR,DP,EU,EU,Syringe,2021,AML14,0.8,15000,12000,3000,4,2.5
675,675,ProductM,DP,ICON - LACAN,ICON - LACAN,Syringe,2022,AML14,0.8,15000,12000,3000,4,2.5
598,598,ProductK,FDP,US,US,30cc,2019,AML1,0.25,15000,3750,11250,4,4.0
540,540,ProductK,DS,Global,Global,Global DS,2021,ASM2,0.4,15000,6000,9000,4,4.0
230,230,ProductD,FDP,US,US,Lyo Vial Kit,2023,AML1,0.25,15000,3750,11250,4,4.0
728,728,ProductM,FDP,JAPAC,JAPAC,Syringe,2020,AML1,0.25,15000,3750,11250,4,2.5
323,323,ProductF,FDP,US,US,Reusable Auto Injector,2021,AML1,0.25,15000,3750,11250,4,4.0
510,510,ProductK,DP,JAPAC,JAPAC,10cc,2021,"Patheon, NC",0.6,15000,9000,6000,4,4.0
920,920,ProductP,DP,ICON - LACAN,ICON - LACAN,Vial,2022,AML14,0.8,15000,12000,3000,4,2.5
1264,1264,ProductT,DP,EU,EU,Vial,2021,AML14,0.8,15000,12000,3000,4,2.5
899,899,ProductO,FDP,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2021,ABR,0.65,15000,9750,5250,4,2.5
509,509,ProductK,DP,JAPAC,JAPAC,10cc,2020,"Patheon, NC",0.6,15000,9000,6000,4,4.0
947,947,ProductP,FDP,ICON - LACAN,ICON - LACAN,Vial,2019,AML1,0.25,15000,3750,11250,4,2.5
1221,1221,ProductS,DP,JAPAC,JAPAC,Blister,2023,AML23,0.25,15000,3750,11250,4,2.5
1174,1174,ProductR,FDP,JAPAC,JAPAC,Auto Injector,2022,Bushu,0.35,15000,5250,9750,4,2.5
141,141,ProductC,FDP,EU,EU,Auto Injector,2019,ABR,0.65,15000,9750,5250,4,4.0
938,938,ProductP,DS,Global,Global,Global DS,2020,"Bachem, CH",1.0,15000,15000,0,4,2.5
1233,1233,ProductS,FDP,EU,EU,Blister,2020,"PCI, UK",0.3,15000,4500,10500,4,2.5
660,660,ProductM,DP,EU,EU,OnPro,2022,AML14,0.8,15000,12000,3000,4,2.5
1142,1142,ProductR,FDP,EU,EU,Pushtronex,2019,"PCI, US",0.3,15000,4500,10500,4,2.5
1100,1100,ProductR,DP,ICON - TMEA,ICON - TMEA,Auto Injector,2022,AML14,0.8,15000,12000,3000,4,2.5
1107,1107,ProductR,DP,JAPAC,JAPAC,Auto Injector,2020,AML14,0.8,15000,12000,3000,4,2.5
126,126,ProductC,DP,US,US,Syringe,2019,AML14,0.8,15000,12000,3000,4,4.0
629,629,ProductL,DP,US,US,Vial,2023,AML14,0.8,15000,12000,3000,4,4.0
1259,1259,ProductS,FDP,US,US,Bottle,2021,AML23,0.25,15000,3750,11250,4,2.5
497,497,ProductK,DP,ICON - LACAN,ICON - LACAN,30cc,2023,"Patheon, NC",0.6,15000,9000,6000,4,4.0
958,958,ProductP,FDP,JAPAC,JAPAC,Vial,2020,AML1,0.25,15000,3750,11250,4,2.5
736,736,ProductM,FDP,US,US,OnPro,2023,AML1,0.25,15000,3750,11250,4,2.5
272,272,ProductF,DP,US,US,Auto Injector,2020,AML14,0.8,15000,12000,3000,4,4.0
1113,1113,ProductR,DP,JAPAC,JAPAC,Pushtronex,2021,"Patheon, IT",0.6,15000,9000,6000,4,2.5
1119,1119,ProductR,DP,US,US,Auto Injector,2021,AML14,0.8,15000,12000,3000,4,2.5
67,67,ProductB,FDP,EU,EU,Auto Injector,2023,ABR,0.65,15000,9750,5250,4,4.0
317,317,ProductF,FDP,US,US,Lyo Vial Kit,2020,"PCI, US",0.3,15000,4500,10500,4,4.0
760,760,ProductN,DP,ICON - LACAN,ICON - LACAN,Vial,2022,AML14,0.8,15000,12000,3000,4,2.5
1221,1221,ProductS,DP,JAPAC,JAPAC,Blister,2023,AML23,0.25,15000,3750,11250,4,2.5
284,284,ProductF,DP,US,US,Reusable Auto Injector,2022,AML14,0.8,15000,12000,3000,4,4.0
1273,1273,ProductT,DP,ICON - TMEA,ICON - TMEA,Vial,2020,AML14,0.8,15000,12000,3000,4,2.5
1120,1120,ProductR,DP,US,US,Auto Injector,2022,AML14,0.8,15000,12000,3000,4,2.5
60,60,ProductB,DS,Global,Global,Global DS,2021,ARI5,1.0,15000,15000,0,4,4.0
1146,1146,ProductR,FDP,EU,EU,Pushtronex,2023,"PCI, US",0.3,15000,4500,10500,4,2.5
118,118,ProductC,DP,ICON - TMEA,ICON - TMEA,Syringe,2021,AML14,0.8,15000,12000,3000,4,4.0
907,907,ProductO,FDP,US,US,Lyo Vial Kit,2019,AML1,0.25,15000,3750,11250,4,2.5
927,927,ProductP,DP,JAPAC,JAPAC,Vial,2019,"Patheon, NC",0.6,15000,9000,6000,4,2.5
287,287,ProductF,DP,US,US,Syringe,2020,AML14,0.8,15000,12000,3000,4,4.0
1220,1220,ProductS,DP,JAPAC,JAPAC,Blister,2022,AML23,0.25,15000,3750,11250,4,2.5
584,584,ProductK,FDP,JAPAC,JAPAC,30cc,2020,AML1,0.25,15000,3750,11250,4,4.0
378,378,ProductH,FDP,ICON - TMEA,ICON - TMEA,Syringe,2019,AML1,0.25,15000,3750,11250,4,4.0
559,559,ProductK,FDP,ICON - LACAN,ICON - LACAN,10cc,2020,AML1,0.25,15000,3750,11250,4,4.0
147,147,ProductC,FDP,EU,EU,Syringe,2020,ABR,0.65,15000,9750,5250,4,4.0
937,937,ProductP,DS,Global,Global,Global DS,2019,"Bachem, CH",1.0,15000,15000,0,4,2.5
443,443,ProductJ,DS,Global,Global,Global DS,2019,"Patheon, NL",0.6,15000,9000,6000,4,4.0
908,908,ProductO,FDP,US,US,Lyo Vial Kit,2020,AML1,0.25,15000,3750,11250,4,2.5
1007,1007,ProductQ,DP,US,US,Syringe,2019,AML14,0.8,15000,12000,3000,4,2.5
170,170,ProductC,FDP,US,US,Syringe,2023,AML1,0.25,15000,3750,11250,4,4.0
124,124,ProductC,DP,JAPAC,JAPAC,Syringe,2022,AML14,0.8,15000,12000,3000,4,4.0
1189,1189,ProductR,FDP,US,US,Pushtronex,2021,"PCI, US",0.3,15000,4500,10500,4,2.5
722,722,ProductM,FDP,ICON - TMEA,ICON - TMEA,Syringe,2019,ABR,0.65,15000,9750,5250,4,2.5
689,689,ProductM,DP,US,US,OnPro,2021,AML14,0.8,15000,12000,3000,4,2.5
750,750,ProductN,DP,EU,EU,Vial,2022,AML14,0.8,15000,12000,3000,4,2.5
111,111,ProductC,DP,ICON - LACAN,ICON - LACAN,Syringe,2019,AML14,0.8,15000,12000,3000,4,4.0
451,451,ProductJ,FDP,EU,EU,Lyo Vial Kit,2021,ABR,0.65,15000,9750,5250,4,4.0
763,763,ProductN,DP,ICON - TMEA,ICON - TMEA,Syringe,2020,AML14,0.8,15000,12000,3000,4,2.5
415,415,ProductI,FDP,US,US,Vial,2021,LDC,0.35,15000,5250,9750,4,4.0
260,260,ProductF,DP,ICON - LACAN,ICON - LACAN,Auto Injector,2023,AML14,0.8,15000,12000,3000,4,4.0
228,228,ProductD,FDP,US,US,Lyo Vial Kit,2021,AML1,0.25,15000,3750,11250,4,4.0
477,477,ProductK,DP,EU,EU,10cc,2023,"Patheon, NC",0.6,15000,9000,6000,4,4.0
47,47,ProductB,DP,JAPAC,JAPAC,Auto Injector,2020,AML14,0.8,15000,12000,3000,4,4.0
34,34,ProductB,DP,ICON - LACAN,ICON - LACAN,Syringe,2021,AML14,0.8,15000,12000,3000,4,4.0
104,104,ProductC,DP,EU,EU,Auto Injector,2022,AML14,0.8,15000,12000,3000,4,4.0
830,830,ProductN,FDP,JAPAC,JAPAC,Syringe,2022,AML1,0.25,15000,3750,11250,4,2.5
882,882,ProductO,DS,Global,Global,Global DS,2019,AML7,0.25,15000,3750,11250,4,2.5
68,68,ProductB,FDP,EU,EU,Syringe,2019,ABR,0.65,15000,9750,5250,4,4.0
1219,1219,ProductS,DP,JAPAC,JAPAC,Blister,2021,AML23,0.25,15000,3750,11250,4,2.5
757,757,ProductN,DP,ICON - LACAN,ICON - LACAN,Vial,2019,AML14,0.8,15000,12000,3000,4,2.5
999,999,ProductQ,DP,JAPAC,JAPAC,Syringe,2021,AML14,0.8,15000,12000,3000,4,2.5
1084,1084,ProductR,DP,EU,EU,Syringe,2021,AML14,0.8,15000,12000,3000,4,2.5
943,943,ProductP,FDP,EU,EU,Vial,2020,ABR,0.65,15000,9750,5250,4,2.5
489,489,ProductK,DP,ICON - LACAN,ICON - LACAN,10cc,2020,"Patheon, NC",0.6,15000,9000,6000,4,4.0
938,938,ProductP,DS,Global,Global,Global DS,2020,"Bachem, CH",1.0,15000,15000,0,4,2.5
10,10,ProductA,DS,Global,Global,Global DS,2022,ASM1,0.4,15000,6000,9000,4,4.0
1247,1247,ProductS,FDP,ICON - TMEA,ICON - TMEA,Blister,2019,"PCI, UK",0.3,15000,4500,10500,4,2.5
681,681,ProductM,DP,ICON - TMEA,ICON - TMEA,Syringe,2023,AML14,0.8,15000,12000,3000,4,2.5
1148,1148,ProductR,FDP,EU,EU,Syringe,2020,ABR,0.65,15000,9750,5250,4,2.5
910,910,ProductO,FDP,US,US,Lyo Vial Kit,2022,AML1,0.25,15000,3750,11250,4,2.5
93,93,ProductB,FDP,JAPAC,JAPAC,Auto Injector,2022,AML1,0.25,15000,3750,11250,4,4.0
202,202,ProductD,DS,Global,Global,Global DS,2020,"Lonza, UK",1.0,15000,15000,0,4,4.0
557,557,ProductK,FDP,EU,EU,50cc,2023,ABR,0.65,15000,9750,5250,4,4.0
1064,1064,ProductQ,FDP,US,US,Syringe,2021,AML1,0.25,15000,3750,11250,4,2.5
1221,1221,ProductS,DP,JAPAC,JAPAC,Blister,2023,AML23,0.25,15000,3750,11250,4,2.5
1190,1190,ProductR,FDP,US,US,Pushtronex,2022,"PCI, US",0.3,15000,4500,10500,4,2.5
1268,1268,ProductT,DP,ICON - LACAN,ICON - LACAN,Vial,2020,AML14,0.8,15000,12000,3000,4,2.5
939,939,ProductP,DS,Global,Global,Global DS,2021,"Bachem, CH",1.0,15000,15000,0,4,2.5
545,545,ProductK,FDP,EU,EU,10cc,2021,ABR,0.65,15000,9750,5250,4,4.0
396,396,ProductI,DP,EU,EU,Vial,2022,AWM,0.98,15000,14700,300,4,4.0
1214,1214,ProductS,DP,ICON - TMEA,ICON - TMEA,Blister,2021,AML23,0.25,15000,3750,11250,4,2.5
592,592,ProductK,FDP,JAPAC,JAPAC,50cc,2023,AML1,0.25,15000,3750,11250,4,4.0
1235,1235,ProductS,FDP,EU,EU,Blister,2022,"PCI, UK",0.3,15000,4500,10500,4,2.5
779,779,ProductN,DP,JAPAC,JAPAC,Vial,2021,AML14,0.8,15000,12000,3000,4,2.5
864,864,ProductO,DP,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2021,ADL PM2,1.0,15000,15000,0,4,2.5
404,404,ProductI,DS,Global,Global,Global DS,2020,AWM,1.0,15000,15000,0,4,4.0
771,771,ProductN,DP,ICON - TMEA,ICON - TMEA,Vial,2023,AML14,0.8,15000,12000,3000,4,2.5
1003,1003,ProductQ,DP,JAPAC,JAPAC,Vial,2020,AML14,0.8,15000,12000,3000,4,2.5
10,10,ProductA,DS,Global,Global,Global DS,2022,ASM1,0.4,15000,6000,9000,4,4.0
113,113,ProductC,DP,ICON - LACAN,ICON - LACAN,Syringe,2021,AML14,0.8,15000,12000,3000,4,4.0
183,183,ProductD,DP,ICON - LACAN,ICON - LACAN,Lyo Vial Kit,2021,ADL PM2,1.0,15000,15000,0,4,4.0
671,671,ProductM,DP,ICON - LACAN,ICON - LACAN,OnPro,2023,AML14,0.8,15000,12000,3000,4,2.5
312,312,ProductF,FDP,US,US,Auto Injector,2020,AML1,0.25,15000,3750,11250,4,4.0
878,878,ProductO,DP,US,US,Lyo Vial or Lyo Vial Kit; 125ug SKU,2020,"Patheon, IT",0.6,15000,9000,6000,4,2.5
695,695,ProductM,DP,US,US,Syringe,2022,AML14,0.8,15000,12000,3000,4,2.5
20,20,ProductB,DP,EU,EU,Auto Injector,2020,AML14,0.8,15000,12000,3000,4,4.0
561,561,ProductK,FDP,ICON - LACAN,ICON - LACAN,10cc,2022,AML1,0.25,15000,3750,11250,4,4.0
1013,1013,ProductQ,DP,US,US,Vial,2020,AML14,0.8,15000,12000,3000,4,2.5
1049,1049,ProductQ,FDP,ICON - TMEA,ICON - TMEA,Vial,2021,ABR,0.65,15000,9750,5250,4,2.5
986,986,ProductQ,DP,ICON - LACAN,ICON - LACAN,Vial,2023,AML14,0.8,15000,12000,3000,4,2.5
93,93,ProductB,FDP,JAPAC,JAPAC,Auto Injector,2022,AML1,0.25,15000,3750,11250,4,4.0
641,641,ProductL,FDP,ICON - LACAN,ICON - LACAN,Vial,2021,AML1,0.25,15000,3750,11250,4,4.0
1280,1280,ProductT,DP,JAPAC,JAPAC,Vial,2022,AML14,0.8,15000,12000,3000,4,2.5
253,253,ProductE,FDP,US,US,Solution/Ampule,2021,"Catalent, IL",0.35,15000,5250,9750,4,4.0
387,387,ProductH,FDP,JAPAC,JAPAC,Syringe,2023,Bushu,0.35,15000,5250,9750,4,4.0
982,982,ProductQ,DP,ICON - LACAN,ICON - LACAN,Vial,2019,AML14,0.8,15000,12000,3000,4,2.5
764,764,ProductN,DP,ICON - TMEA,ICON - TMEA,Syringe,2021,AML14,0.8,15000,12000,3000,4,2.5
1255,1255,ProductS,FDP,JAPAC,JAPAC,Blister,2022,"PCI, UK",0.3,15000,4500,10500,4,2.5
698,698,ProductM,DS,Global,Global,Global DS,2020,AML7,0.25,15000,3750,11250,4,2.5
791,791,ProductN,DP,US,US,Vial,2023,AML14,0.8,15000,12000,3000,4,2.5
377,377,ProductH,FDP,ICON - LACAN,ICON - LACAN,Syringe,2023,AML1,0.25,15000,3750,11250,4,4.0
1145,1145,ProductR,FDP,EU,EU,Pushtronex,2022,"PCI, US",0.3,15000,4500,10500,4,2.5
380,380,ProductH,FDP,ICON - TMEA,ICON - TMEA,Syringe,2021,AML1,0.25,15000,3750,11250,4,4.0
923,923,ProductP,DP,ICON - TMEA,ICON - TMEA,Vial,2020,"Patheon, NC",0.6,15000,9000,6000,4,2.5
1107,1107,ProductR,DP,JAPAC,JAPAC,Auto Injector,2020,AML14,0.8,15000,12000,3000,4,2.5
827,827,ProductN,FDP,JAPAC,JAPAC,Syringe,2019,AML1,0.25,15000,3750,11250,4,2.5
357,357,ProductH,DP,JAPAC,JAPAC,Syringe,2019,"Patheon, IT",0.6,15000,9000,6000,4,4.0
600,600,ProductK,FDP,US,US,30cc,2021,AML1,0.25,15000,3750,11250,4,4.0
445,445,ProductJ,DS,Global,Global,Global DS,2020,"Patheon, NL",0.6,15000,9000,6000,4,4.0
13,13,ProductA,FDP,JAPAC,JAPAC,Auto Injector,2023,AML1,0.25,15000,3750,11250,4,4.0
294,294,ProductF,DS,Global,Global,Global DS,2022,AML6,0.25,15000,3750,11250,4,4.0
1249,1249,ProductS,FDP,ICON - TMEA,ICON - TMEA,Blister,2021,"PCI, UK",0.3,15000,4500,10500,4,2.5
682,682,ProductM,DP,JAPAC,JAPAC,Syringe,2019,AML14,0.8,15000,12000,3000,4,2.5
458,458,ProductJ,FDP,ICON - TMEA,ICON - TMEA,Lyo Vial Kit,2019,ABR,0.65,15000,9750,5250,4,4.0
842,842,ProductN,FDP,US,US,Vial,2019,AML1,0.25,15000,3750,11250,4,2.5
156,156,ProductC,FDP,ICON - TMEA,ICON - TMEA,Syringe,2019,ABR,0.65,15000,9750,5250,4,4.0
598,598,ProductK,FDP,US,US,30cc,2019,AML1,0.25,15000,3750,11250,4,4.0
605,605,ProductK,FDP,US,US,50cc,2021,AML1,0.25,15000,3750,11250,4,4.0
798,798,ProductN,FDP,EU,EU,Syringe,2020,ABR,0.65,15000,9750,5250,4,2.5
154,154,ProductC,FDP,ICON - LACAN,ICON - LACAN,Syringe,2022,AML1,0.25,15000,3750,11250,4,4.0
678,678,ProductM,DP,ICON - TMEA,ICON - TMEA,Syringe,2020,AML14,0.8,15000,12000,3000,4,2.5
488,488,ProductK,DP,ICON - LACAN,ICON - LACAN,10cc,2019,"Patheon, NC",0.6,15000,9000,6000,4,4.0
1123,1123,ProductR,DP,US,US,Pushtronex,2020,"Patheon, IT",0.6,15000,9000,6000,4,2.5
856,856,ProductO,DP,EU,EU,Lyo Vial or Lyo Vial Kit; 125ug SKU,2023,"Patheon, IT",0.6,15000,9000,6000,4,2.5
912,912,ProductP,DP,EU,EU,Vial,2019,AML14,0.8,15000,12000,3000,4,2.5
1289,1289,ProductT,DS,Global,Global,Global DS,2021,ARI5,1.0,15000,15000,0,4,2.5
949,949,ProductP,FDP,ICON - LACAN,ICON - LACAN,Vial,2021,AML1,0.25,15000,3750,11250,4,2.5
139,139,ProductC,DS,Global,Global,Global DS,2022,AML6,0.25,15000,3750,11250,4,4.0
558,558,ProductK,FDP,ICON - LACAN,ICON - LACAN,10cc,2019,AML1,0.25,15000,3750,11250,4,4.0
733,733,ProductM,FDP,US,US,OnPro,2020,AML1,0.25,15000,3750,11250,4,2.5
909,909,ProductO,FDP,US,US,Lyo Vial Kit,2021,AML1,0.25,15000,3750,11250,4,2.5
